CELL_ID,LATITUDE,LONGITUDE,TYPE,SCENE
0,392.004466,219.427338,1,6
1,392.004466,219.427338,1,2
2,392.142992,219.704867,1,2
3,392.142992,219.704867,1,2
4,392.142992,219.704867,1,2
5,392.142992,219.704867,1,2
6,392.142992,219.704867,1,15
7,392.142992,219.704867,1,2
8,392.142098,219.674803,1,12
9,392.142098,219.674803,1,6
10,392.143901,219.68651,1,2
11,392.143901,219.68651,1,2
12,392.143901,219.68651,1,2
13,392.095101,220.033501,1,6
14,392.095101,220.033501,1,6
15,392.095101,220.033501,1,16
16,392.095101,220.033501,1,16
17,392.094122,219.459615,1,6
18,392.094122,219.459615,1,6
19,392.094122,219.459615,1,6
20,391.953272,219.502943,1,6
21,391.953272,219.502943,1,6
22,391.953272,219.502943,1,6
23,392.01874,219.71825,0,9
24,392.01874,219.71825,0,17
25,392.01739,219.71828,0,9
26,392.070501,219.893476,1,2
27,392.070501,219.893476,1,2
28,392.070501,219.893476,1,6
29,392.070501,219.893476,1,5
30,392.070501,219.893476,1,5
31,392.16687,219.86457,1,2
32,392.16687,219.86457,1,6
33,392.16687,219.86457,1,2
34,391.920628,219.816673,1,2
35,391.920078,219.817669,1,6
36,391.920078,219.817669,1,2
37,391.35976,219.90708,0,2
38,392.13528,219.504833,1,6
39,392.13528,219.504833,1,2
40,392.13528,219.504833,1,6
41,392.158384,219.707416,1,4
42,392.158384,219.707416,1,6
43,392.158384,219.707416,1,2
44,392.158384,219.707416,1,2
45,391.3912711,220.0662211,1,11
46,391.3912711,220.066211,1,11
47,391.3919511,220.0663111,1,11
48,391.3919511,220.0663111,1,11
49,391.3907311,220.0668911,1,11
50,391.3907311,220.0668911,1,11
51,391.3932211,220.0667811,1,11
52,391.3932211,220.0667811,1,11
53,391.3937411,220.0609611,1,6
54,391.3937411,220.0609611,1,11
55,391.3937411,220.0609611,1,6
56,391.3919511,220.0663111,1,11
57,391.770646,219.872043,1,2
58,391.770646,219.872043,1,2
59,391.899183,219.826909,1,2
60,391.899183,219.826909,1,2
61,391.899183,219.826909,1,2
62,391.899183,219.826909,1,2
63,391.899183,219.826909,1,2
64,392.114803,219.493508,1,6
65,392.114803,219.493508,1,6
66,392.114803,219.493508,1,6
67,391.9345411,219.6305111,1,6
68,391.9348711,219.6326211,0,4
69,391.9742211,219.7334811,1,6
70,391.9742211,219.7334811,1,5
71,391.9742211,219.7334811,1,13
72,391.9742211,219.7334811,1,5
73,391.9742211,219.7334811,1,5
74,391.9742211,219.7334811,1,2
75,391.9742211,219.7334811,1,2
76,391.9703711,219.7380211,1,2
77,391.9703711,219.7380211,1,2
78,391.9703711,219.7380211,1,2
79,391.9703711,219.7380211,1,2
80,391.9703711,219.7380211,1,6
81,391.73607,219.91126,0,2
82,391.73607,219.91126,0,2
83,391.73607,219.91126,0,2
84,391.73578,219.91123,0,2
85,391.96965,219.77231,1,2
86,391.96965,219.77231,1,2
87,392.026504,219.83479,1,6
88,392.026504,219.83479,1,5
89,392.026504,219.83479,1,6
90,392.169685,219.796669,1,2
91,392.169685,219.796669,1,2
92,392.169685,219.796669,1,6
93,392.169685,219.796669,1,6
94,392.169685,219.796669,1,6
95,392.169685,219.796669,1,6
96,392.169685,219.796669,1,6
97,392.09412,219.88297,1,6
98,392.09412,219.88297,1,6
99,392.09412,219.88297,1,5
100,392.09412,219.88297,1,6
101,392.09412,219.88297,1,5
102,392.090637,219.887381,1,2
103,392.090637,219.887381,1,2
104,392.090637,219.887381,1,2
105,392.090637,219.887381,1,2
106,391.73607,219.91126,0,2
107,391.73607,219.91126,0,2
108,391.73607,219.91126,0,2
109,391.73445,219.91194,0,2
110,392.027232,219.676015,1,2
111,392.027232,219.676015,1,2
112,392.027232,219.676015,1,2
113,392.064181,219.74812,1,5
114,392.064181,219.74812,1,5
115,392.064181,219.74812,1,5
116,392.06542,219.75212,1,6
117,392.06542,219.75212,1,5
118,392.06542,219.75212,1,5
119,392.06542,219.75212,1,5
120,392.06542,219.75212,1,5
121,392.06542,219.75212,1,5
122,392.055111,219.7447111,1,5
123,392.055111,219.7447111,1,5
124,392.055111,219.7447111,1,2
125,392.055111,219.7447111,1,5
126,392.055111,219.7447111,1,5
127,392.07584,219.75172,1,5
128,392.003106,219.709887,1,6
129,392.003106,219.709887,1,6
130,392.003106,219.709887,1,6
131,392.003106,219.709887,1,6
132,392.003106,219.709887,1,6
133,392.003106,219.709887,1,6
134,392.04464,219.73871,1,10
135,392.04464,219.73871,1,10
136,392.04464,219.73871,1,10
137,392.074659,219.790899,1,9
138,392.074659,219.790899,1,9
139,392.074659,219.790899,1,9
140,392.03961,219.79306,0,2
141,392.02328,219.78231,2,2
142,392.009417,219.775685,0,2
143,392.0069811,219.735511,1,2
144,392.0069811,219.735511,1,2
145,392.0069811,219.735511,1,2
146,392.0069811,219.735511,1,2
147,392.0046711,219.7256311,1,2
148,392.0046711,219.7256311,1,6
149,392.0046711,219.7256311,1,2
