scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_上行速率达标率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值率,z2_应用层上行速率达标率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率,delta_rsrp,abs_delta_rsrp,delta_cov2,abs_delta_cov2,dl_drop_rate_calc,effective_dl,dl_tail_drag,dl_drops_per_hour,dl_drops_per_km,ul_drop_rate_calc,effective_ul,ul_tail_drag,ul_drops_per_hour,ul_drops_per_km
休息点,电信,,0.393872222222222,,-62.7614495925839,16.6456544969232,1.0,1.0,5.97020846,8.9403,0.856666666666667,10.0,10.0,0.0,0.0,4.66004889666667,6.03175,0.996666666666667,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,5.97020846,2.9700915400000003,0.0,,0.0,4.66004889666667,1.3717011033333293,0.0,
休息点,移动,,0.3938694444444445,,-59.658099588697894,17.252780828969826,0.9995059985885675,0.9995059985885675,8.16474557333333,8.77197,1.0,10.0,10.0,0.0,0.0,4.927598735,6.7302800000000005,1.0,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,8.16474557333333,0.6072244266666709,0.0,,0.0,4.927598735,1.802681265,0.0,
停车场,电信,,0.32393750000000004,,-78.75150168120886,10.91896632199983,0.9648805624182246,0.9648805624182246,8.25907274708498,9.436995025,0.9708579022801027,10.0,10.0,0.0,0.0,4.602901049378184,5.800691,0.9973349944629014,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,8.25907274708498,1.17792227791502,0.0,,0.0,4.602901049378184,1.197789950621816,0.0,
停车场,移动,,0.32398784722222224,,-80.25591585472814,11.586104656894225,0.9602295530426341,0.9612698656713368,7.53007741300605,8.8552119925,0.9753957101146684,10.0,9.975,0.025,0.002777777777777775,3.9582404110916825,5.232934775,0.9350948604122639,10.025,10.025,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0025,7.515063827580124,1.32513457949395,0.051437389266731415,,0.0,3.9582404110916825,1.2746943639083175,0.0,
咖啡厅,电信,,0.3223938888888889,,-84.13246892041475,8.596954470387093,0.8519147973124452,0.8998716384511047,7.412926323082637,8.815489000000001,0.923666604161738,10.0,10.0,0.0,0.0,4.424364464762228,5.682648970000001,0.9980044150110373,10.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,7.412926323082637,1.4025626769173631,0.0,,0.0,4.424364464762228,1.258284505237772,0.0,
咖啡厅,移动,,0.3223936111111111,,-85.21851817097074,9.427795661324675,0.896901609008799,0.9360314006097621,6.958082418033738,8.313831500000001,0.9672526758892813,10.0,10.0,0.0,0.0,3.9418103805589757,5.3653466850000004,0.9431868872438717,10.05,10.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,6.958082418033738,1.3557490819662605,0.0,,0.0,3.9418103805589757,1.423536304441024,0.0,
城市道路,电信,240.8123252366185,6.875316555555555,36.43424844423356,-77.2837041413255,8.025356828689194,0.9352760304041711,0.9358179397767934,7.081398965842153,9.478936000000001,0.9228977564204678,222.8,222.6,0.2,0.001110277569392348,4.369543108692566,5.62223498,0.9849199903847063,224.4,224.4,0.0,0.0,-77.83670329786526,7.73052020841214,0.9418630668797308,0.9425746655418392,7.098629328555232,9.429615583333334,0.9323908484445355,222.8,222.6,0.2,0.001110277569392348,4.353610021145815,5.36063405,0.9890820984625597,224.4,224.4,0.0,0.0,0.552999156539741,0.6183983679967809,-0.0067567257650458235,0.009455208716906615,0.001103988603988604,7.073787701386754,2.397537034157847,0.026209507217832752,0.0009309885555004064,0.0,4.369543108692566,1.252691871307434,0.0,0.0
城市道路,移动,240.81411950013336,6.875517763888889,36.43452280052287,-76.52291535691703,9.229398410852191,0.9481534333358393,0.9494418362564071,7.041844285823234,9.260083,0.9557159012253933,223.55,223.25,0.15,0.0006976744186046511,4.037175090983155,5.5982595,0.9589806351062024,223.05,222.85,0.2,0.0010683099582640282,-76.87575241568712,8.853151441872651,0.9543805376369059,0.9556964590387738,7.019996676219411,9.193754321212122,0.9616110003917097,223.55,223.25,0.15,0.0006976744186046511,4.036995246139286,5.3772936625,0.9683460252602838,223.05,222.85,0.2,0.0010683099582640282,0.35283705877008414,0.5656437567884331,-0.006254622782366659,0.007638049216419951,0.0006901970778117567,7.037553661660388,2.218238714176766,0.01817317000691807,0.0007119841047424056,0.0010623229933309575,4.0335699268972105,1.561084409016845,0.028253587144835706,0.0009489700652892848
步行道,电信,2.5997312016619567,0.4896558641975309,5.304872795869424,-79.83095406077638,10.797787545153257,0.9481156223028153,0.9509861343995278,8.13603408811826,9.751043333333334,0.9819433482000933,14.444444444444445,14.444444444444445,0.0,0.0,4.37136293966223,5.725067777777777,0.9745055806262702,15.11111111111111,15.11111111111111,0.0,0.0,-81.09008479827979,10.545115771282434,0.9771600836018206,0.9777722660321848,8.205467593811314,9.634213770502644,0.992133726647001,14.444444444444445,14.444444444444445,0.0,0.0,4.328257215568777,4.93788896111111,0.989538034915233,15.11111111111111,15.11111111111111,0.0,0.0,1.2591307375034009,1.523837313248025,-0.02678613163265679,0.02678613163265679,0.0,8.13603408811826,1.6150092452150733,0.0,0.0,0.0,4.37136293966223,1.3537048381155476,0.0,0.0
步行道,移动,2.5999311026069845,0.4896535493827161,5.30567834847565,-78.10367293668531,11.906398394512824,0.9561372719436275,0.9666873541790613,7.734990139813255,9.408597777777779,0.9728650341781715,14.833333333333334,14.666666666666666,0.0,0.0,4.032438082883184,5.526871666666667,0.97996968332942,14.944444444444445,14.833333333333334,0.1111111111111111,0.015873015873015886,-79.1206745144912,11.453838510612913,0.9705735515029019,0.9797349793006934,7.695119546023032,9.070055514811537,0.9875013329750172,14.833333333333334,14.666666666666666,0.0,0.0,4.051728140232018,4.983914769411375,0.9941115310301358,14.944444444444445,14.833333333333334,0.1111111111111111,0.015873015873015886,1.0170015778058794,1.2074918428743904,-0.013047625121632168,0.013732832795480494,0.0,7.734990139813255,1.673607637964523,0.0,0.0,0.012345679012345678,3.9772738157462055,1.4944335837834828,0.3183927533809331,0.06684535724770334
