scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2,delta_rsrp,abs_delta_rsrp,delta_cov2,abs_delta_cov2
休息点,电信,,0.39379166666666654,,-58.25403898112245,10.78727589681619,0.997384419623922,0.997384419623922,,,,,,,,
休息点,联通,,0.393805555555556,,-116.721484653819,-3.53375936830835,0.0806566738044254,0.204282655246253,,,,,,,,
停车场,电信,,0.3103654320987654,,-72.4348599005771,8.760394427605014,0.9649265021627775,0.9816359749365972,,,,,,,,
停车场,移动,,0.3025150793650794,,-72.66166176879034,10.056271668306962,0.9382193857636291,0.9382193857636291,,,,,,,,
停车场,联通,,0.3302013227513227,,-89.82050255529123,3.1910881003929834,0.730650242293083,0.779091822904145,,,,,,,,
咖啡厅,电信,,0.3085661111111111,,-74.96030009555103,7.631392591497457,0.9692789474155404,0.9719192114419432,,,,,,,,
咖啡厅,移动,,0.3085219135802469,,-64.1567109262901,12.256641306486365,0.9998016884809338,0.9998016884809338,,,,,,,,
咖啡厅,联通,,0.31840858585858584,,-86.99123750320038,6.507036511884141,0.7834136822096427,0.8587363440609159,,,,,,,,
步行道,电信,3.032530291272533,0.4899811728395062,6.0617697222976865,-77.07471690904566,7.926036568780628,0.9435019787415057,0.9507651992003332,-77.47547409317927,7.984912732222583,0.940211195179725,0.9503660463671848,0.4007571841336046,1.0370652971605563,0.0003991528331482246,0.012303771864611783
步行道,移动,2.669262078344821,0.49255277777777784,5.410934158071449,-72.71683006562813,7.759596660097056,0.9452906498396083,0.9454959549229619,-73.96743171845742,7.557097137271308,0.935753213172895,0.935753213172895,1.6432771540768343,1.9048396032574857,0.009305966048114622,0.017448932110802118
步行道,联通,2.0953067792256665,0.48059722222222234,4.514190049030045,-92.40354480752802,1.2524880409711814,0.6321469143981354,0.6719573152683771,-88.76497859895801,1.8814924690620258,0.6655190419991209,0.6986111780577883,-0.26751738565752703,1.5260656918366706,0.048453435019770584,0.05460802574264439
补给站,电信,,0.29895956790123457,,-77.463046844176,7.8575016202778665,0.9831460943294442,0.9833766494732943,,,,,,,,
补给站,移动,,0.27559598765432103,,-70.95097073327022,9.421516036018065,0.9965311893423231,0.9967447066290112,,,,,,,,
补给站,联通,,0.32183179012345675,,-86.01179399003954,5.100698368903375,0.7863019708267844,0.8497695352446821,,,,,,,,
骑行道,电信,3.316371949555618,0.5719503968253967,5.9490058100602825,-71.21858286858017,7.013268512415183,0.9253149870166959,0.9263161274141444,-71.27154663058784,7.059925799327086,0.9215485695290203,0.924739617128952,0.010686296753774029,0.8487095054162197,0.00258864395549333,0.01944046276760837
骑行道,移动,3.1022544393220124,0.5759798611111112,5.7303905839535565,-70.54858948254717,6.688280244033215,0.9088705619761116,0.9097345042912808,-71.02571798013831,6.517687258129144,0.9025213310324239,0.9037505218957611,0.47712849759114356,1.0137429046463358,0.005983982395519596,0.019862099026878185
骑行道,联通,3.6969915413880345,0.601909,6.538733745171029,-88.49898563947716,3.5509643622612566,0.7026925737232707,0.7400954998611382,-89.11723188161994,3.1792684893543375,0.6938085530304062,0.7319370891213243,1.1632109903711074,1.4739251295882914,0.018104002072054672,0.027849718369932826
