metric,operator_a,operator_b,n_a,n_b,mean_a,mean_b,t_stat,p_value
x1_平均SS-RSRP,联通,电信,86,86,-78.01586644224194,-78.06368932114214,0.03347340221121913,0.9733365399251979
x1_平均SS-RSRP,联通,移动,86,86,-78.01586644224194,-71.87193871311334,-4.217197553555336,4.014243067982622e-05
x1_平均SS-RSRP,电信,移动,86,86,-78.06368932114214,-71.87193871311334,-4.401776658867467,1.8933262422512783e-05
x1_平均SS-SINR,联通,电信,86,86,11.403130989732196,11.405601526736797,-0.0031183291836041674,0.9975156934943552
x1_平均SS-SINR,联通,移动,86,86,11.403130989732196,12.810831155964099,-1.5989745981376837,0.111689021921496
x1_平均SS-SINR,电信,移动,86,86,11.405601526736797,12.810831155964099,-1.7151661990502438,0.08822467058893481
x1_覆盖率1,联通,电信,84,84,0.9374179959972826,0.9556128971325836,-1.050290247405393,0.2953704736990609
x1_覆盖率1,联通,移动,84,84,0.9374179959972826,0.9694422803992457,-1.962993056432766,0.051906674242724535
x1_覆盖率1,电信,移动,84,84,0.9556128971325836,0.9694422803992457,-1.1589823074390244,0.24822244011307584
y1_应用层下行平均吞吐率,联通,电信,86,86,32.53337478770886,35.35891237676874,-0.9781392153325478,0.3293955270617812
y1_应用层下行平均吞吐率,联通,移动,86,86,32.53337478770886,62.105724249391464,-8.76858122204769,2.7114174168842923e-15
y1_应用层下行平均吞吐率,电信,移动,86,86,35.35891237676874,62.105724249391464,-7.899785733028078,4.3492976433561067e-13
z1_应用层上行平均吞吐率,联通,电信,86,86,17.444377443892428,18.314771196255403,-0.5425153506527607,0.5881752945017982
z1_应用层上行平均吞吐率,联通,移动,86,86,17.444377443892428,43.71251439021254,-10.069678772692372,8.337121444532698e-18
z1_应用层上行平均吞吐率,电信,移动,86,86,18.314771196255403,43.71251439021254,-9.814664507701552,4.2594846275957587e-17
effective_dl,联通,电信,86,86,32.531635628780236,35.34348758289226,-0.9733443831319464,0.33176525815970714
effective_dl,联通,移动,86,86,32.531635628780236,62.10102623021071,-8.76698778629055,2.73782313695555e-15
effective_dl,电信,移动,86,86,35.34348758289226,62.10102623021071,-7.902203550671892,4.2893769815150773e-13
effective_ul,联通,电信,86,86,17.420884250618023,18.30227509886263,-0.5493349448065161,0.583497654803653
effective_ul,联通,移动,86,86,17.420884250618023,43.644772203774245,-10.063167948228433,8.63429892248804e-18
effective_ul,电信,移动,86,86,18.30227509886263,43.644772203774245,-9.800200765287107,4.56776407017172e-17
