vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2
61f672c7283626788223681647752079,C,驶测,骑行道,移动,2.2018492013216,0.457469444444444,4.81310659774349,-63.3697949828091,5.7308114733223,0.922959378581434,0.924614796892907,-63.0186882905598,5.43414197940031,0.925925925925926,0.925925925925926
61f672c7283626788223681647752079,C,驶测,骑行道,电信,2.2018492013216,0.457469444444444,4.81310659774349,-69.3471482889734,8.000970373891,0.968821292775665,0.968821292775665,-69.7798201358048,7.75450691254279,0.954128440366973,0.954128440366973
61f672c7283626788223681647752079,C,驶测,骑行道,移动,2.2018492013216,0.457469444444444,4.81310659774349,-73.0477996965099,9.16704207764289,0.926909458775923,0.926909458775923,-73.1668249046812,9.16759124869698,0.917431192660551,0.954128440366973
61f672c7283626788223681647752079,C,驶测,骑行道,移动,2.17412685996294,0.504916666666667,4.30591224947273,-74.4462476854373,8.09691039919399,0.933776277093998,0.935083324256617,-73.6752595797507,8.64020101136129,0.98936170212766,0.98936170212766
61f672c7283626788223681647752079,C,驶测,骑行道,电信,2.17412685996294,0.504916666666667,4.30591224947273,-92.00021602938,3.08208103802117,0.831065024843379,0.832253186433355,-92.9659077535063,2.29446910389653,0.776595744680851,0.776595744680851
61f672c7283626788223681647752079,C,驶测,骑行道,移动,2.17067472726107,0.504916666666667,4.29907521490887,-82.3930207197383,4.80050436205016,0.866521264994547,0.869247546346783,-82.7773399287469,4.81456929428784,0.893617021276596,0.893617021276596
61f672c7283626788223681647752079,C,驶测,步行道,移动,2.1691858626008,0.504916666666667,4.29473247136754,-67.4048224753899,10.4530057515762,0.960070788629576,0.961508682667847,-67.1128263473398,10.602702385035,0.971698113207547,0.971698113207547
61f672c7283626788223681647752079,C,驶测,步行道,电信,2.1691858626008,0.504916666666667,4.29612648146718,-81.9056582881187,9.15560811371941,0.987044624072639,0.987044624072639,-81.2573434507457,9.69109967668706,1.0,1.0
61f672c7283626788223681647752079,C,驶测,步行道,移动,2.1691858626008,0.504752777777778,4.29752139681301,-68.7560513106525,10.7332246932515,0.950808700501952,0.952258784160625,-67.885887214914,10.9930111445211,0.971698113207547,0.971698113207547
61f672c7283626788223681647752079,C,定点,咖啡厅,移动,,0.378722222222222,,-43.6093405786459,16.0690584153326,1.0,1.0,,,,
61f672c7283626788223681647752079,C,定点,咖啡厅,电信,,0.378552777777778,,-101.216438759006,-1.65790187104838,0.710777826790178,0.718423761211587,,,,
61f672c7283626788223681647752079,C,定点,咖啡厅,移动,,0.378391666666667,,-49.9723529411765,14.0390280330882,1.0,1.0,,,,
61f672c7283626788223681647752079,C,定点,停车场,移动,,0.381861111111111,,-67.5163265306122,6.6265943877551,0.998396501457726,0.998396501457726,,,,
61f672c7283626788223681647752079,C,定点,停车场,电信,,0.381694444444444,,-82.3662053896577,10.9128391296431,0.910415149308085,0.910415149308085,,,,
61f672c7283626788223681647752079,C,定点,停车场,移动,,0.381527777777778,,-63.3275058275058,15.0004211283508,1.0,1.0,,,,
61f672c7283626788223681647752079,C,定点,停车场,移动,,0.381944444444444,,-53.5487911447713,16.1622487620157,1.0,1.0,,,,
61f672c7283626788223681647752079,C,定点,停车场,电信,,0.381780555555556,,-61.3468704512373,11.0267922125182,1.0,1.0,,,,
61f672c7283626788223681647752079,C,定点,停车场,移动,,0.381611111111111,,-83.7538282047543,8.52044443634242,0.982645471780662,0.986291381070439,,,,
61f672c7283626788223681647752079,C,定点,补给站,移动,,0.375102777777778,,-72.9270787016452,3.93824338594931,0.988291092337335,0.990366088631985,,,,
61f672c7283626788223681647752079,C,定点,补给站,电信,,0.37495,,-89.8593054318789,2.55615306841793,1.0,1.0,,,,
61f672c7283626788223681647752079,C,定点,补给站,移动,,0.37475,,-73.7281740159811,12.2530241935484,0.956348031962119,0.956348031962119,,,,
61f672c7283626788223681647752079,E,驶测,骑行道,移动,2.14353608834744,0.539633333333333,3.97220845329687,-79.0359170193002,1.65413903653628,0.852100319950459,0.853338837857364,-79.5794853288366,1.74134958640997,0.844444444444444,0.844444444444444
61f672c7283626788223681647752079,E,驶测,骑行道,电信,2.14353608834744,0.539441666666667,3.97361980136394,-87.9319742042854,5.70207672404826,0.867900977740795,0.885479509049303,-88.5201089244335,5.77398506564421,0.888888888888889,0.911111111111111
61f672c7283626788223681647752079,E,驶测,骑行道,移动,2.14247446298599,0.53925,3.97306344550022,-77.0622605363985,4.99082887664964,0.849616858237548,0.850787569178374,-77.6957370578129,4.71777079552256,0.865168539325843,0.876404494382023
61f672c7283626788223681647752079,E,驶测,骑行道,移动,5.16537125635147,0.448277777777778,11.5227020218523,-84.4762529519811,1.47867603647337,0.695880346365783,0.695880346365783,-87.9531103576086,0.688020112155206,0.619246861924686,0.619246861924686
61f672c7283626788223681647752079,E,驶测,骑行道,电信,5.16537125635147,0.448111111111111,11.5269876784436,-81.655453870888,7.95457619651249,0.938164729161514,0.941503833786792,-81.4268823496914,8.20842524294597,0.942622950819672,0.942622950819672
61f672c7283626788223681647752079,E,驶测,骑行道,移动,5.16537125635147,0.44795,11.5311335112211,-79.7923579688286,5.52218844268477,0.895173453996983,0.896807440925088,-78.6497636947566,5.45311841297413,0.925925925925926,0.938271604938272
61f672c7283626788223681647752079,E,驶测,骑行道,移动,2.08666555297375,0.564608333333333,3.69577533624857,-95.0221650504651,1.0526389026321,0.689293489016426,0.693053631506036,-93.0407702827897,2.11922885981095,0.719512195121951,0.731707317073171
61f672c7283626788223681647752079,E,驶测,骑行道,电信,2.08666555297375,0.564444444444444,3.69684842062278,-101.470524233432,1.49376390949555,0.639564787339268,0.717012858555885,-102.251393275003,0.304905816721918,0.597560975609756,0.719512195121951
61f672c7283626788223681647752079,E,驶测,骑行道,移动,2.08588175290823,0.564252777777778,3.69671508064728,-94.5430091029968,0.322360514472742,0.706556203334356,0.70952234836862,-96.6109961697495,-0.210586543286658,0.634146341463415,0.658536585365854
61f672c7283626788223681647752079,E,驶测,骑行道,移动,1.83681998944283,0.4005,4.58631707726049,-61.639549436796,11.2223178278404,0.974412460019469,0.974412460019469,-62.5298362886958,10.7621327600608,0.968421052631579,0.968421052631579
61f672c7283626788223681647752079,E,驶测,骑行道,电信,1.83603561258316,0.400336111111111,4.58623531983498,-79.146828723107,6.56083010268231,0.974294495669181,0.974294495669181,-80.2886581736251,6.15731095721264,0.978947368421053,0.978947368421053
61f672c7283626788223681647752079,E,驶测,骑行道,移动,1.83603561258316,0.400166666666667,4.58817729092002,-56.3220220639575,11.3687639645301,0.996648512777545,0.996648512777545,-56.8430709325899,11.2925916661093,1.0,1.0
61f672c7283626788223681647752079,E,驶测,步行道,移动,2.15796139836311,0.457469444444444,4.71717056640529,-82.654083395016,1.7600292221811,0.76980014803849,0.76980014803849,-83.0382747739444,1.07267031704568,0.71,0.71
61f672c7283626788223681647752079,E,驶测,步行道,电信,2.15796139836311,0.457330555555556,4.71860314634273,-80.5020007275373,6.99122597611253,0.987146841275615,0.987146841275615,-80.0844196672662,7.15371251555521,0.98,0.98
